"Pseudotime","SMC_Subtype"
11.39985626601,"SMC2"
6.7951244225139,"SMC2"
11.2642326499476,"SMC2"
4.34232208859329,"SMC1"
8.61843748569462,"SMC2"
8.9068038828851,"SMC2"
5.58415750516431,"SMC1"
2.32665931384344,"SMC1"
11.6388074078798,"SMC2"
14.1912593548176,"SMC5"
9.1471795834541,"SMC1"
9.11963511996104,"SMC2"
10.2261396333093,"SMC2"
10.288841069266,"SMC2"
9.14717961958632,"SMC2"
8.9976813557096,"SMC2"
11.4161758481279,"SMC2"
8.46255991744204,"SMC2"
7.38669100196802,"SMC3"
13.7884838283738,"SMC5"
10.463127407474,"SMC2"
8.78861339024009,"SMC3"
9.11649188437515,"SMC2"
7.41889758246482,"SMC3"
6.87205763862726,"SMC3"
8.99768139184182,"SMC2"
8.88618635935077,"SMC2"
11.510107889723,"SMC5"
6.79512445864613,"SMC1"
12.1497530528127,"SMC5"
6.89865286375704,"SMC3"
9.4912537226517,"SMC2"
3.81179259426036,"SMC1"
12.5739340997697,"SMC5"
8.68986402203924,"SMC1"
5.9003801217419,"SMC1"
10.5257127427214,"SMC2"
9.67064440662429,"SMC2"
6.12181523276583,"SMC1"
3.24346082221646,"SMC1"
10.5257127788536,"SMC1"
3.93406185534199,"SMC1"
8.65542106612645,"SMC3"
7.25945613021754,"SMC2"
10.5257128149858,"SMC1"
8.82504936776945,"SMC3"
5.90980124077606,"SMC3"
2.46227360685436,"SMC1"
8.71671915088158,"SMC1"
4.75533695609163,"SMC1"
10.3559657830546,"SMC2"
8.61843752182684,"SMC1"
7.01138696224497,"SMC1"
10.0111894543036,"SMC1"
5.24578835587433,"SMC1"
10.525712851118,"SMC2"
8.98242930965848,"SMC2"
9.97528363507422,"SMC2"
10.2095855735862,"SMC2"
8.9824293457907,"SMC2"
3.71974107517508,"SMC1"
8.05046641867192,"SMC3"
6.87597519722524,"SMC3"
7.81095086509938,"SMC3"
9.14717965571854,"SMC2"
7.12843568779313,"SMC3"
5.99698172074022,"SMC1"
9.14717969185076,"SMC2"
8.48504355617799,"SMC1"
8.77452706794542,"SMC2"
