"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC4","M5926","HALLMARK MYC TARGETS V1",37,0.63610978332304,2.39951824614407,8.22279553723753e-07,1.68567308513369e-05,"MYC/NOP16/RRP9/NOP56/SRM/DDX21/GNL3/EEF1B2/RACK1/SRPK1/EIF3B/PA2G4/EIF3D/POLE3/EIF4A1/TUFM/CDK4/PSMD1/FAM120A/BUB3/DHX15/NCBP2/CTPS1/HDGF/SNRPA"
"SMC4","M5950","HALLMARK ALLOGRAFT REJECTION",17,0.60150565118484,1.85347975262079,0.00356809573475325,0.0240991566572962,"IL6/INHBA/CSK/TAP2/EIF3D/TRAF2/EIF3A/HIF1A/TGFB1/AKT1"
"SMC4","M5953","HALLMARK KRAS SIGNALING UP",22,0.558408856166384,1.84516655594087,0.00357807615158032,0.0240991566572962,"ITGA2/IGFBP3/ANGPTL4/PLAUR/INHBA"
"SMC4","M5922","HALLMARK UNFOLDED PROTEIN RESPONSE",22,0.553088610552174,1.82758671427409,0.00408406671847046,0.0240991566572962,"RRP9/NOP56/EXOSC2/NABP1/PDIA5/EIF4A1/NOP14/HYOU1/VEGFA/EEF2/CCL2/TATDN2/EXOSC9/ARFGAP1"
"SMC4","M5932","HALLMARK INFLAMMATORY RESPONSE",27,0.519253283165302,1.81495430901815,0.00411449016100179,0.0240991566572962,"IL6/MYC/PLAUR/SERPINE1/INHBA/ITGA5/SPHK1/IL1R1/KLF6/LDLR/HIF1A/ADRM1"
"SMC4","M5925","HALLMARK E2F TARGETS",21,0.551262743820346,1.79950535654442,0.00561767210916405,0.0287905695594658,"MYC/NOP56/HELLS/DNMT1/POLD1/ILF3/PA2G4/CDK4/DDX39A/SSRP1/WDR90"
"SMC4","M5901","HALLMARK G2M CHECKPOINT",36,0.419092340878283,1.57155917231999,0.025252167757919,0.0796414521595905,"MYC/UCK2/ILF3/E2F4/CCND1/CDK4/HIF1A/TNPO2/TGFB1/DDX39A/BUB3/NCL"
"SMC4","M5898","HALLMARK DNA REPAIR",35,0.420108228094324,1.5651168731023,0.0275863290870112,0.08078853518339,"PNP/POLD1/ERCC1/NT5C/APRT/ITPA/NPR2/ADRM1/SNAPC4/SSRP1/NCBP2/NELFCD/POLR2H/NELFB/DGCR8/CSTF3"
"SMC4","M5937","HALLMARK GLYCOLYSIS",33,0.422178489817214,1.54963035279324,0.0310796851066861,0.0827786037710347,"IGFBP3/ANGPTL4/B4GALT2/TGFBI/CD44/PKM/ENO1/B4GALT7/VEGFA/GMPPB/PFKP/PYGB"
"SMC5","M5953","HALLMARK KRAS SIGNALING UP",17,0.690233392590924,1.91179408238524,0.00143009179193827,0.0443328455500865,"ADGRA2/CFH/AKAP12/TRIB2/EMP1/GUCY1A1/NRP1/ENG/PPP1R15A"
"SMC5","M5890","HALLMARK TNFA SIGNALING VIA NFKB",59,0.455236422985335,1.64503208658294,0.00825639452177066,0.127974115087445,"TNFAIP2/PHLDA1/NR4A3/IRF1/NR4A1/CCL2/NR4A2/CSF1/CEBPD/IL6/SOCS3/BTG2/BCL3/NAMPT/PPP1R15A/KLF9/MARCKS/KLF4/JUNB/ABCA1/GEM/CEBPB/CLCF1/LITAF/BTG1/FOSB/B4GALT1/IER3"
"SMC5","M5913","HALLMARK INTERFERON GAMMA RESPONSE",34,0.499671907818713,1.62361747926834,0.0187129371898826,0.193367017628787,"TNFAIP2/CFH/IRF1/CCL2/XAF1/MT2A/IL6/SAMHD1/SOCS3/NAMPT/STAT1/LY6E/LGALS3BP/STAT2/FAS/BTG1"
"SMC5","M5911","HALLMARK INTERFERON ALPHA RESPONSE",12,0.634852396916614,1.6103624270481,0.0325705753672002,0.252421959095802,"NCOA7/IRF1/CSF1/LY6E/LGALS3BP/STAT2/MOV10/C1S/OGFR/UBA7"
"SMC5","M5896","HALLMARK TGF BETA SIGNALING",15,0.548445562162301,1.47187146761229,0.0765667528866799,0.36108174197816,"THBS1/ENG/ID1/SPTBN1/PPP1R15A/NCOR2/SMAD6/JUNB"
"SMC5","M5950","HALLMARK ALLOGRAFT REJECTION",12,0.566489925724487,1.43695463090109,0.0957498524254314,0.36108174197816,"CCL2/CSF1/IL6/BCL3/STAT1/TIMP1"
"SMC5","M5922","HALLMARK UNFOLDED PROTEIN RESPONSE",12,0.564544273934867,1.43201930332992,0.0982673009479496,0.36108174197816,"CCL2/EIF4A3/DDIT4/PREB/TSPYL2/CEBPB"
"SMC5","M5908","HALLMARK ANDROGEN RESPONSE",14,0.527235967159904,1.39014802511717,0.117716313750917,0.36108174197816,"STEAP4/AKAP12/GUCY1A1"
"SMC5","M5930","HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",79,0.3607431612017,1.36915792881921,0.0671389427253893,0.36108174197816,"CRLF1/IGFBP4/COL5A3/FBLN2/FBLN1/CXCL12/LAMA2/COMP/PCOLCE/THBS1/IL6/PDGFRB/COL6A3"
"SMC5","M5934","HALLMARK XENOBIOTIC METABOLISM",20,0.465128217668258,1.34052630653661,0.139773577539933,0.36108174197816,"IGFBP4/FBLN1/PDK4/MT2A/NDRG2"
