"UMAP_1","UMAP_2","Myeloid_Subtype"
-2.9585326285126,-4.31414906910308,"M1 Macrophages"
-3.50526541183016,-2.40407030514129,"M1 Macrophages"
-4.88206261107943,0.41965605088822,"M1 Macrophages"
-4.45769804427645,1.38154478141419,"M1 Macrophages"
-4.53558152625582,1.65926296779267,"Classical Monocytes"
-1.09879445741198,5.22642786571137,"Classical Monocytes"
-4.36310165832064,1.27754051753632,"Classical Monocytes"
-1.98078334043048,2.05179936954133,"Classical Monocytes"
-3.73552864501498,-3.47899763515838,"M1 Macrophages"
-3.11502986857913,-2.2495918743933,"M1 Macrophages"
-3.61369269797824,-3.27999370029815,"M1 Macrophages"
-2.99787407825015,3.75874407359711,"Classical Monocytes"
0.389107885861181,0.137722445217291,"Classical Monocytes"
-4.25098508307955,-1.82127265861877,"M1 Macrophages"
5.39336091568448,-4.48641984394439,"Platelets"
-4.46496981093905,-3.34223310879119,"M1 Macrophages"
-1.59242011318228,4.51409609386078,"Classical Monocytes"
-4.41595524261019,-1.94904212883361,"M1 Macrophages"
-3.74235170791171,2.30570561954133,"Classical Monocytes"
-3.69884627769015,-3.43328063419708,"M1 Macrophages"
-2.69135445067904,3.93761856624238,"Classical Monocytes"
-2.98832541415713,3.6327756173288,"Classical Monocytes"
-3.56313746879122,2.88521511623017,"Classical Monocytes"
-4.26522391746066,1.55614907809846,"Classical Monocytes"
-4.45239799926303,-3.17740313938506,"M1 Macrophages"
-2.55972212264559,4.09652025767914,"Classical Monocytes"
-2.7894914717438,1.62640459605805,"Classical Monocytes"
-2.57384973475955,-1.18995593717941,"M1 Macrophages"
-2.81055479953311,-3.21906368664153,"M1 Macrophages"
6.50703031113126,-3.03467385700591,"Platelets"
-1.72974422285578,-2.29627935818084,"M1 Macrophages"
-2.58106058547518,2.55454285213105,"Classical Monocytes"
-3.25622302005313,3.31471831866852,"Classical Monocytes"
-3.74545138785861,-1.54466335705169,"M1 Macrophages"
-5.13400262305758,-1.34927247694381,"M1 Macrophages"
-2.55449169585726,2.18574745723359,"Classical Monocytes"
-5.4630047650101,-5.197811292919,"M1 Macrophages"
-1.57212595353148,2.13272721835724,"Classical Monocytes"
0.327916684651159,-0.221874477776369,"Classical Monocytes"
-4.32658523032687,-1.39856760433563,"M1 Macrophages"
-1.31746664354823,3.80880291530244,"Classical Monocytes"
-5.11577385375521,-1.44076173237213,"M1 Macrophages"
2.06621820023038,3.48044521876923,"M2 Macrophages"
5.89433414032438,-4.5345279448355,"Platelets"
-4.86413019607089,-2.55038611820587,"M1 Macrophages"
-2.68270677039645,0.952744913784186,"Classical Monocytes"
-3.18616920421145,0.542988968578497,"Classical Monocytes"
-3.84560197303317,-1.80311088493713,"M1 Macrophages"
-4.65431445548556,-0.991583155902704,"M1 Macrophages"
0.627216163182042,0.668105674472967,"Neutrophils"
-3.32374423453829,3.18939883777253,"Classical Monocytes"
-5.23818367431185,-4.60486714771636,"M1 Macrophages"
-2.15308642098925,1.52686555453889,"Classical Monocytes"
-2.75143366763613,-3.12648289135345,"M1 Macrophages"
-2.66535931537173,-2.23960320881256,"M1 Macrophages"
-1.86649331161997,2.36563952037446,"Classical Monocytes"
4.68624240448453,-2.62971179417022,"Classical Monocytes"
-5.48292058417819,1.68095333644501,"Classical Monocytes"
-2.14406150290988,1.74518616267792,"Classical Monocytes"
-4.05297892997286,2.43732864925019,"Classical Monocytes"
-0.178245839572169,-0.181868808778604,"Classical Monocytes"
-3.37722557494662,-4.17725293568023,"M1 Macrophages"
-5.2797748417618,-1.42743264368423,"M1 Macrophages"
-2.66645270297549,4.05935795375458,"Classical Monocytes"
0.34908742001035,0.0616043336068786,"Neutrophils"
6.093940558934,-2.67484848430999,"M1 Macrophages"
-4.00844281623385,-3.61333768299468,"M1 Macrophages"
-2.10902791926882,3.52199609347932,"Classical Monocytes"
-3.90435522506259,-3.0773905985678,"M1 Macrophages"
-1.97647773931048,2.7745950944101,"Classical Monocytes"
-5.06116956183932,-1.38625167539962,"M1 Macrophages"
-5.59442966887972,-5.20309607914337,"M1 Macrophages"
-3.35711413333438,-0.233927833350977,"Classical Monocytes"
-4.24452656219027,-2.89648644855865,"M1 Macrophages"
6.60971814682462,-3.59508364132293,"Platelets"
-0.666746315455653,2.82551796504609,"Classical Monocytes"
-2.65557092139743,0.493159485546271,"Classical Monocytes"
-3.86221927115939,-2.97229711941131,"M1 Macrophages"
-4.50884240577243,1.74830539294831,"Classical Monocytes"
-5.11596768806002,-1.43539743355163,"M1 Macrophages"
-2.17258423278353,0.923567248073736,"Classical Monocytes"
-5.02964085052035,0.551264179435889,"M1 Macrophages"
-5.48018568465731,-5.29734342029937,"M1 Macrophages"
-4.85629552314303,-1.6152894966925,"M1 Macrophages"
-2.80873340079806,0.869606447902838,"Classical Monocytes"
-2.98626190135501,0.396537614551703,"Classical Monocytes"
-4.64616650054476,-3.76361529758819,"M1 Macrophages"
-3.29066222617648,-0.96243600777038,"M1 Macrophages"
-4.32610743949435,1.76075346538178,"Classical Monocytes"
-4.2969891400101,-2.50077168873199,"M1 Macrophages"
6.25704509308317,-2.92770354679473,"Platelets"
-4.7082645268204,1.77895553180329,"Classical Monocytes"
-3.30666714618228,0.772139979091803,"Classical Monocytes"
-4.12165683219454,-1.77927999428161,"M1 Macrophages"
-3.0441381306412,2.18330438205353,"Classical Monocytes"
-5.72923153350375,-6.23195283344634,"M1 Macrophages"
-3.25683086822055,2.73386437961213,"Classical Monocytes"
-3.52996033141635,2.91644222804658,"Classical Monocytes"
-3.84802788207553,-2.13454453876861,"M1 Macrophages"
-2.66541307876132,3.55262763568513,"Classical Monocytes"
-1.97670662114642,-1.82674019268401,"M1 Macrophages"
-3.78615611503146,0.634033632961432,"Classical Monocytes"
-2.70025318572543,0.868339014736334,"Classical Monocytes"
-4.47096007773898,1.75372846194855,"Classical Monocytes"
-1.84233885715029,-1.9314858191336,"M1 Macrophages"
-2.40409248778842,4.23974402019135,"M2 Macrophages"
-3.49105852553866,2.44468147822968,"Classical Monocytes"
-3.10749000022433,3.31479199000947,"Classical Monocytes"
-4.88795751044772,1.86449987956635,"Classical Monocytes"
-5.04209845969699,-2.86137549808868,"M1 Macrophages"
-3.15512412498019,-4.22706644466766,"M1 Macrophages"
-1.60781374285243,4.06969626018159,"Classical Monocytes"
-2.43700021216891,0.685578776088873,"Classical Monocytes"
-5.02152532050631,-1.32320474317916,"M1 Macrophages"
5.52521354248502,-2.96636407307037,"Platelets"
-2.59803479621432,2.96910841533295,"Classical Monocytes"
5.83017093231656,-3.77809088161834,"Platelets"
-3.90947216460726,-1.66488377979644,"M1 Macrophages"
-2.78389805266879,-3.01361792019256,"M1 Macrophages"
6.61127740433195,-3.92683856418975,"Platelets"
-2.9854724974396,-3.45872847965606,"M1 Macrophages"
-1.80522370049975,3.60600407191865,"Classical Monocytes"
-4.13494533011935,-2.89203422001251,"M1 Macrophages"
-3.55286282012484,2.49306972095124,"Classical Monocytes"
-3.19250875422976,3.47004277774445,"Classical Monocytes"
